Ideas,Theme a,Theme-b,Theme-c,Unnamed: 4,Unnamed: 5,Question,Answer
,,,,,,"how does the author describe the ""rational"" buddhist concept of pragmatism?","""pragmatism is in a way the buddhism of western philosophy in that it aims at smaller goals and ideas chiefly. getting deeper pragmatically - philosophy of science - best practices - ideas that lose the weight of hard science and the loftiness of philosophy."" (point 10)"
,,,,,,what is the author's perspective on avoiding complex decisions?,"""complexity - avoid decision --> in a way its better to just do nothing and avoid any of the consequences that come from failure to appropriately analyze complex decisions."" (point 11)"
,,,,,,"how does the author describe the experience of ""being overwhelmed by beauty""?","""overwhelmed by the beauty - just that beauty shining, but don't be fooled this is truly special not just like your average 4:20 smoke sesh."" (point 22)"
,,,,,,"according to the author, what inspired baudrillard's view of modern society being disconnected from reality?","""baudrillard in ""simulacra…"" states that the real is so far away from us in this present age and that every thing is more like simulacra of simulations of the real."" (point 8)"
,,,,,,"how does the author define ""satisfaction"" in relation to health?","""taste: health = satifaction: health t = 2, h = 1 then s =2 -but fo real in my opinion the satisfaction to health ratio is the ratio you should be considering if you want to live that middle-ish - moderate-ish way of life…"" (point 9)"
,,,,,,what is the author's view on speaking eloquently versus other modes of speech?,"""speak: 1) intelligently 2) colloquially - these two ways of speaking will probably help you more than say speaking eloquently."" (point 42)"
,,,,,,what does the author suggest to maximize the beauty in a situation?,"""maybe ask what makes this moment beautiful? see if beauty can be increased in every situation."""
,,,,,,"how does the author describe the concept of ""full expression""?","""it takes a lot of effort for one to understand who they are when they are comfortable and how to channel the most real expressions of themselves"""
,,,,,,"according to the author, what is the ""power of pettiness""?","""is the idea that pettiness is the destroyer of all people. that even the best of us can't truly be unaffected by the petty bullshit around us."""
,,,,,,what techniques does the author recommend for meditation?,"""various meditation - i am a big fan of meditation techniques that help train the mind from moment to moment."""
,,,,,,how does the author view nietzsche's perspectives on women and jews?,"""his manner of demeaning women and jews is just dumb. also needlessly ambiguous over just how much he dislikes jews."""
,,,,,,what does the author find problematic about camus' concept of absurdism?,"""its like ""yeah bro sure...life is absurd but is that the best way to describe life?"""""
,,,,,,"according to the author, what is the value of silence between friends?","""foucault talks about the different types of silences. harsh vs pleasant silences that extend throughout the day between friends."""
,,,,,,"how does the author define the concept of ""conscious orientation""?","""conscious orientation => lush (i.e. love understanding satisfaction health)"""
,,,,,,what does the author suggest about the origins of abstract ideas?,"""lines- ink blot – image – feeling – memory -> simple lines like an ink blot create images – feelings – memories"""
,,,,,,how does the author describe satisfaction in relation to mortality?,"""everyone has a void - i.e. - a hole - satisfaction is hard to come by don't feel bad that you feel bad"""
,,,,,,"according to the author, what truth does baudrillard's idea of modern society point to?","""baudrillard is the man and it is important to cut out the bullshit, which is all the fakeness that exists in corporate america and our shitty political system."""
,,,,,,what is the author's view on abstract concepts versus intuition?,"""anything abstract is so forgotten. forget blue vs white collar or smart vs dumb. the world of abstraction is the world of the .001%."""
,,,,,,how does the author characterize the certainty of death?,"""death -> does it matter? its certainty - mainly bores"""
,,,,,,"according to the author, what makes sibylle baier's music compelling?","""obviously she wasn't as prolific. nor did she have the intellectual depth or descriptive beauty, but her melodies are haunting as is her vibe in general."""
,,,,,,what does the author suggest about the inability to gain perspective?,"""inability to step back -> why? 1) delusion -> no/too much feelings 2) subj"""
,,,,,,"how does the author view the concept of ""the whole picture""?","""what is the whole picture? -> subj à cant agree on what it is"""
,,,,,,what is the author's perspective on nature and human indulgence?,"""nature – slut, whore, maniac"""
,,,,,,"according to the author, what new plan does one need?","""minimize the things i hate à the new plan"""
,,,,,,how does the author describe the practice of being aware of touch?,"""meditation – awareness of touch – do it all the time"""
,,,,,,"what does the author suggest about ""douchebags"" and their behavior?","""dbags fucking w/ you -> they like puppies -> you an old dog"""
,,,,,,how does the author view the role of meditation?,"""meditation -> softens the horror"""
,,,,,,"according to the author, what is the effect of alcohol on existential dread?","""booze -> spices up the horror"""
,,,,,,"how does the author characterize the experience of being ""fucking high""?","""fucking high school errwhere"""
,,,,,,"what is the significance of the date ""5/2/15"" according to the author?","""5/2_/15 – another time"""
,,,,,,what concept does the author introduce regarding living in an alternate state?,"""dream: swimming to the statue of liberty"""
,,,,,,"how does the author describe the concept of ""art as life""?","""art in every aspect of your life nowadays everything can be art – sinks, tables, music, beds"""
,,,,,,"what does the author suggest as a ""cross platform challenge""?","""try to excel in a variety of ways in art/life. especially when they interact so harmoniously!!!"""
,,,,,,"according to the author, what makes a goal beautiful even if the means are ugly?","""well this is to say that sometimes it can be unpleasant to accomplish something worthwhile –really ynpleasant – possibly immoral"""
,,,,,,how does the author apply the economics concept of cost/benefit analysis?,"""cost/benefit i.e. the economics idea – but applied to everything. fomo. and of"""
,,,,,,what does the author suggest is required to truly feel discipline?,"""discipline -> feel it that you should really feel the urges suppressed to really feel discipline to really discipline your self."""
,,,,,,what is the author's motivation for starting an artist collective?,"""i want to start an artist collective that aims at helping children (because then we could maybe get some funding)"""
,,,,,,"according to the author, how should one approach caring about things?","""care till you don't -> you r nature ->roll w/ it its okay to care or not. just do whatcha into. go with yo own flow."""
,,,,,,"how does the author describe the process of ""art them up""?","""art them up -> by being basic -> swim in generalities -> but bring a towel -> let higher self shine!"""
,,,,,,what does the author simply instruct regarding shining?,"""shine that's it."""
,,,,,,how does the author view the exploration of nihilism?,"""nihilism -> explore it i get the jist of a nihilist, but its not so bad really and anyways no one is really such a sociopath that they are really a nihilist."""
,,,,,,"what is the author's perspective on the fashion choice of ""white on white on white""?","""white on white on white = yes"""
,,,,,,how does the author describe their personal style?,"""tropical goth = me = dark + sun"""
,,,,,,what does the author repeatedly emphasize about the world?,"""u don't live in a world free of repurcissons x 5"""
,,,,,,"according to the author, what is the value of smiling?","""smile – ie – for no reason smiling for no reason has been proven psychologically to make us happy anyways yo."""
,,,,,,how does the author view the importance of teamwork?,"""teamwork -> at all costs team work dats da shit yo… you can get so much done!"""
,,,,,,what connection does the author make between art and business?,"""art as business as extra care good business involves extra care and so does art."""
,,,,,,how does the author describe the ideal role of a collective?,"""collective as an army in the sense that it's best to have a really diverse set of art skills involved in your art collective!"""
,,,,,,what does the author suggest about being authentic with lovers?,"""lovers -> b what they want u 2 b in the sense you know…that its probably not that hard for you to act that way or they wouldn't be your lover in the first place."""
,,,,,,"according to the author, what is an acceptable indulgence?","""fetal position away yrr day you earned it!!!"""
,,,,,,how does the author view the relationship between art and possibility?,"""art as barely possible yet achievable always nice to test the limits of what is possible from an artistic standpoint."""
,,,,,,what does the author say about the rarity of commitment?,"""commitment = ***** (rare) (5 stars)"""
,,,,,,how does the author describe their personal identity?,"""me = humble as 4 real tho, caring – open, thinking big-latin, healthy – reasonable, mmm…thoroughly – disciplined"""
,,,,,,what does the author suggest about showcasing failures in art?,"""my art as me -> be real -> show failure thought a lot about this. it really relates to a lot of my ideas. my failures are some of the most beautiful parts of my life."""
,,,,,,what encouragement does the author give regarding winning?,"""win!!! you deserve it!!!"""
,,,,,,how does the author view the concept of personal composure?,"""reel it in,compose yrr self (((let me help)))"""
